                      CONFIG                              TIME          COST            PRED_TIME              COST_TIME    
            1x m5n.large & 1x c5.large              0.00112131653164    0.204     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
          1x m5n.large & 2x c5n.2xlarge             8.40987398727e-05   0.983     0.005 (0.003 + 0.002)     3.0 (1.0 + 2.0) 
           1x m5n.large & 2x m5n.xlarge             0.000162771754592   0.595     0.009 (0.003 + 0.006)     3.0 (1.0 + 2.0) 
          1x m5n.large & 1x c5n.4xlarge             0.000168197479745   0.983     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 3x r5.24xlarge             3.01429175171e-06  18.263     0.006 (0.003 + 0.003)     4.0 (1.0 + 3.0) 
           1x m5n.large & 1x m5dn.large             0.00130217403674    0.255     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x r5.8xlarge             8.13858772961e-05   2.135     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 2x r5.24xlarge             6.78215644135e-06  12.215     0.005 (0.003 + 0.002)     3.0 (1.0 + 2.0) 
          1x m5n.large & 3x m5n.24xlarge            3.01429175171e-06  17.255     0.006 (0.003 + 0.003)     4.0 (1.0 + 3.0) 
           1x m5n.large & 1x r5.8xlarge             8.13858772961e-05   2.135     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x c5.2xlarge             0.000280329132909   0.459     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x c5n.18xlarge            3.73772177212e-05   4.007     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x c5n.18xlarge            3.73772177212e-05   4.007     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 2x c5n.9xlarge             1.86886088606e-05   4.007     0.005 (0.003 + 0.002)     3.0 (1.0 + 2.0) 
          1x m5n.large & 3x c5.12xlarge             5.19128023905e-06   6.239     0.006 (0.003 + 0.003)     4.0 (1.0 + 3.0) 
